job_id,num_gpu,submit_time,iterations,model_name,duration,interval
0,1,0,606,vgg19,164,30
1,8,30,133,vgg11,147,23
2,2,53,157,inception4,127,26
3,1,79,513,vgg16,121,20
4,4,99,138,vgg16,121,33
5,8,132,288,inception3,138,44
6,1,176,326,resnet152,121,28
7,2,204,192,resnet152,124,23
8,2,227,235,vgg16,155,25
9,1,252,822,resnet50,126,30
10,1,282,1501,resnet50,230,29
11,1,311,1360,vgg19,368,26
12,2,337,198,vgg19,131,26
13,8,363,581,resnet50,196,38
14,1,401,789,resnet50,121,33
15,1,434,3304,alexnet,180,37
16,4,471,391,alexnet,143,33
17,2,504,193,vgg11,122,27
18,1,531,3469,alexnet,189,23
19,1,554,892,googlenet,125,29
20,1,583,2275,vgg16,536,28
21,2,611,468,alexnet,126,34
22,1,645,473,resnet101,123,35
23,8,680,168,resnet152,121,27
24,4,707,864,googlenet,121,26
25,1,733,253,inception4,121,28
26,1,761,775,vgg11,121,32
27,8,793,109,vgg19,121,34
28,1,827,1085,googlenet,152,34
29,1,861,513,vgg16,121,31
30,1,892,903,vgg11,141,26
31,1,918,864,googlenet,121,26
32,8,944,237,resnet101,125,29
33,1,973,775,vgg11,121,35
34,8,1008,2178,googlenet,305,34
35,4,1042,143,vgg11,121,25
36,4,1067,175,resnet152,123,33
37,1,1100,326,resnet152,121,39
38,2,1139,274,inception3,121,26
39,1,1165,447,vgg19,121,29
40,1,1194,2239,alexnet,122,29
41,2,1223,410,resnet50,123,25
42,1,1248,1011,resnet101,263,26
43,1,1274,438,inception4,209,41
44,1,1315,607,resnet101,158,32
45,2,1347,258,resnet101,121,34
46,1,1381,521,inception3,121,33
47,8,1414,272,alexnet,121,33
48,8,1447,147,inception4,126,24
49,1,1471,4861,resnet152,1800,28
50,4,1499,242,resnet101,126,38
51,1,1537,272,inception4,130,43
52,4,1580,141,vgg19,121,32
53,1,1612,521,inception3,121,32
54,4,1644,362,inception3,171,32
55,8,1676,126,vgg16,135,25
56,2,1701,949,googlenet,133,28
57,4,1729,386,resnet50,128,21
58,4,1750,144,inception4,122,29
59,1,1779,525,inception3,122,33
